system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,slope_deg,.geo
000000000000000023b6,Aizawl,July 2022,23.74111111,92.71083333,Colluvium,Debris slide,,22872,"Hunthar veng, Aizawl",MIZ/AZL/2022/3,Mizoram,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023d6,Aizawl,"2018, October 2019, August 2020",23.739999771118164,92.71416667,Colluvium,Debris slide,,22900,Kawnpui to Khamrang road,MIZ/AZL/2022/32,Mizoram,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023de,Aizawl,2009,23.75861111,92.73261111,Colluvium,Debris slide,,22905,Bawngkawn,MIZ/AZL/2022/37,Mizoram,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023b7,Aizawl,July 2022,23.74194444,92.71027778,Colluvium,Debris slide,,22873,"Hunthar veng, Aizawl",MIZ/AZL/2022/4,Mizoram,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023e8,Aizawl,September 2022,23.77166667,92.760498046875,Colluvium,Debris slide,,22915,Muthi,MIZ/AZL/2022/47,Mizoram,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023e9,Aizawl,July 2022,23.77161111,92.75913889,Colluvium,Debris slide,,22916,Muthi Vengthar,MIZ/AZL/2022/48,Mizoram,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023b8,Aizawl,April 2020,23.73041667,92.75552778,Compacted Debris,Debris flow,,22874,"Beraw Tlang, Zemabawk, Aizawl",MIZ/AZL/2022/5,Mizoram,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023f0,Aizawl,"""July 2004, 2005, 2006, 2008, April",23.73241667,92.71480556,Compacted Debris,Subsidence,,22920,"Kulikawn, Aizawl",MIZ/AZL/2022/52,Mizoram,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023f2,Aizawl,22 June 2018,23.73053889,92.716019,Compacted Debris,Debris flow,,22921,"Tuikual N, D Mual",MIZ/AZL/2022/53,Mizoram,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023f3,Aizawl,1969,23.73055556,92.71527778,Compacted Debris,Debris slide,,22922,"Tuikual N, Local Council House",MIZ/AZL/2022/54,Mizoram,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023f5,Aizawl,August 2022,23.750049591064453,92.7354965209961,Compacted Debris,Debris slide,,22924,Bawngkawn Hmar Veng,MIZ/AZL/2022/56,Mizoram,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023fc,Aizawl,1995,23.718730926513672,92.72297668457031,Compacted Debris,Debris slide,,22931,Republic vengthlang Field,MIZ/AZL/2022/63,Mizoram,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000023fd,Aizawl,August 2022,23.71824073791504,92.72271728515625,Compacted Debris,Debris slide,,22932,Republic Veng cemetary,MIZ/AZL/2022/64,Mizoram,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
