system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,elevation_m,.geo,index_right,osm_id,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m
00000000000000003215,Kohima,07 August 2012 at 05:30 Hrs.,25.68133333,94.20877778,,NIL,,25978,Chakhabama slide (B),NL-09/2012-13,Nagaland,824,"{""type"":""MultiPoint"",""coordinates"":[]}",10145,385045690,primary,,,153.4580566991992
00000000000000003216,Kohima,08 August 2012 at 06:00 Hrs.,25.67275047302246,94.21136111,,NIL,,25979,Chakhabama Slide (C),NL-10/2012-13,Nagaland,792,"{""type"":""MultiPoint"",""coordinates"":[]}",10145,385045690,primary,,,109.62886035191369
00000000000000003217,Phek,07 August 2012 at 05:30 Hrs.,25.66666667,94.19602778,,NIL,,25980,Chakhabama slide (D),NL-11/2012-13,Nagaland,1070,"{""type"":""MultiPoint"",""coordinates"":[]}",10145,385045690,primary,,,256.1692879030424
0000000000000000362e,Dhalai,3 June 2010,23.899999618530273,91.75622222,,,,26897,Datarampara slide,TR-3/09-10,Tripura,201,"{""type"":""MultiPoint"",""coordinates"":[]}",4259,238313307,trunk,,NH8,3.0352018122356443
0000000000000000362f,Dhalai,June 2010,23.89569444,91.76525115966795,,,,26898,Betaraipara slide,TR-4/09-10,Tripura,244,"{""type"":""MultiPoint"",""coordinates"":[]}",4259,238313307,trunk,,NH8,6.81464425802983
00000000000000003630,Dhalai,June 2010,23.88888889,91.78888889,,,,26899,Jeulchhara slide,TR-5/09-10,Tripura,146,"{""type"":""MultiPoint"",""coordinates"":[]}",4259,238313307,trunk,,NH8,10.497879492159202
00000000000000003631,Dhalai,April 2010,23.91200065612793,91.83852778,,,,26900,Kamalchherra,TR-6/09-10,Tripura,82,"{""type"":""MultiPoint"",""coordinates"":[]}",4259,238313307,trunk,,NH8,7.706269155387043
000000000000000023b6,Aizawl,July 2022,23.74111111,92.71083333,Colluvium,Debris slide,,22872,"Hunthar veng, Aizawl",MIZ/AZL/2022/3,Mizoram,823,"{""type"":""MultiPoint"",""coordinates"":[]}",168757,1068111262,residential,,,3.9264708865483113
000000000000000023d6,Aizawl,"2018, October 2019, August 2020",23.739999771118164,92.71416667,Colluvium,Debris slide,,22900,Kawnpui to Khamrang road,MIZ/AZL/2022/32,Mizoram,986,"{""type"":""MultiPoint"",""coordinates"":[]}",30452,609227185,unclassified,,,3.3898791817218292
000000000000000023de,Aizawl,2009,23.75861111,92.73261111,Colluvium,Debris slide,,22905,Bawngkawn,MIZ/AZL/2022/37,Mizoram,1169,"{""type"":""MultiPoint"",""coordinates"":[]}",164065,1058852502,trunk,,NH6,110.04398233156174
