system:index,aspect_deg,clay_surface_pct,elevation_m,label,lulc_class,sample_id,sample_type,slope_deg,state,.geo
00000000000000000078_0,98,20,2560,0,10,121,background,20,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.56826124468535,28.288037307722576]}"
00000000000000000079_0,291,33,1426,0,10,122,background,56,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.92274103008077,28.42440156785192]}"
0000000000000000007a_0,136,23,1574,0,10,123,background,32,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.80945889847146,28.17862250611682]}"
0000000000000000007b_0,268,14,4012,0,10,124,background,28,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.1291601595259,27.69164579059563]}"
0000000000000000007c_0,185,30,515,0,10,125,background,23,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.79211683920607,27.182570519085097]}"
0000000000000000007d_0,58,25,2774,0,10,126,background,40,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.60465673653772,27.775189112018744]}"
0000000000000000007e_0,129,22,1254,0,10,127,background,39,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.18342297696853,27.956019978712]}"
0000000000000000007f_0,210,19,3276,0,10,128,background,29,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.39551521554915,28.26432178422182]}"
00000000000000000080_0,130,21,2822,0,10,129,background,33,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.97376991250059,28.19371420289003]}"
00000000000000000081_0,49,22,2377,0,10,130,background,6,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.10913687725372,28.58636781357867]}"
00000000000000000082_0,180,26,314,0,10,131,background,17,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.3780924733191,27.712666368244022]}"
00000000000000000083_0,15,18,2681,0,10,132,background,37,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.59717784827029,27.639633335645108]}"
00000000000000000084_0,44,19,2140,0,10,133,background,8,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.06682622737168,28.606040918300888]}"
00000000000000000085_0,178,21,3293,0,30,134,background,25,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.05147875885876,27.848222144617658]}"
