SlNo,State,District,event_date,susceptibility_probability,rainfall_probability
23957,Mizoram,Aizawl,2025-06-15,1.0,0.7656566385813808
22970,Mizoram,Aizawl,2013-08-15,0.99,0.4636925049289271
22994,Mizoram,Aizawl,2022-10-02,0.9966666666666667,0.2863500729943346
23010,Mizoram,Aizawl,2023-06-09,0.9766666666666667,0.852468296027107
23014,Mizoram,Aizawl,2023-08-06,0.96,0.8653159602074508
23016,Mizoram,Aizawl,2023-08-06,0.9966666666666667,0.8653159602074508
23019,Mizoram,Aizawl,2023-08-03,1.0,0.4565765031516609
23020,Mizoram,Aizawl,2023-06-02,0.99,0.1824770224841149
23021,Mizoram,Aizawl,2023-08-09,0.9966666666666667,0.7856265407175612
22948,Mizoram,Aizawl,2023-06-09,0.99,0.852468296027107
22949,Mizoram,Aizawl,2023-08-13,0.99,0.3427305556652852
22953,Mizoram,Aizawl,2023-07-24,0.9766666666666667,0.6388435098254959
23095,Mizoram,Aizawl,2024-07-22,0.99,0.4783928349416871
23109,Mizoram,Aizawl,2024-08-21,0.8633333333333333,0.9829671601197126
23117,Mizoram,Aizawl,2024-08-21,0.97,0.9829671601197126
23118,Mizoram,Aizawl,2024-07-20,0.99,0.4147291868757849
23129,Mizoram,Aizawl,2024-09-20,0.9966666666666667,0.14338178643517352
23130,Mizoram,Aizawl,2024-06-20,1.0,0.25697259451732296
23172,Mizoram,Aizawl,2024-08-25,0.82,0.6033014340388547
23210,Mizoram,Aizawl,2023-09-23,0.9933333333333333,0.264443366457696
23215,Mizoram,Aizawl,2024-08-28,0.93,0.5020887753909218
23222,Mizoram,Aizawl,2024-05-26,0.9966666666666667,0.5122170762294947
23251,Mizoram,Aizawl,2024-08-25,0.9933333333333333,0.6302830210793664
23252,Mizoram,Aizawl,2024-07-19,0.9966666666666667,0.20944246256662627
23265,Mizoram,Aizawl,2024-05-29,0.9633333333333334,0.9199378223709469
23334,Mizoram,Aizawl,2023-08-12,0.87,0.37015786371981196
23348,Mizoram,Aizawl,2024-09-20,0.9666666666666667,0.1500203342790133
